[DEBUG] Starting DMA: src=00000000, dst=00000a00, width= 8
[DEBUG] Blocks:  2x 2
[DEBUG] Storing rdata=      3854 at buffer[4][3]
[DEBUG] Read REQ: block( 0, 0), row=3, addr=00000060
[DEBUG] Read DATA[3,0] =       2420 -> buffer[1][4]
[DEBUG] Storing rdata=      2420 at buffer[1][4]
[DEBUG] Read DATA[3,1] =       2420 -> buffer[2][4]
[DEBUG] Read DATA[3,1] =        508 -> buffer[2][4]
[DEBUG] Storing rdata=       508 at buffer[2][4]
[DEBUG] Read DATA[3,2] =        508 -> buffer[3][4]
[DEBUG] Read DATA[3,2] =       3775 -> buffer[3][4]
[DEBUG] Storing rdata=      3775 at buffer[3][4]
[DEBUG] Read DATA[3,3] =       3775 -> buffer[4][4]
[DEBUG] Read DATA[3,3] =        607 -> buffer[4][4]
[DEBUG] Storing rdata=       607 at buffer[4][4]
[DEBUG] Processing block type  0, output_len=25
[DEBUG] Processing block type  0, output_len=25
[DEBUG] Processing block type  0, output_len=25
[DEBUG] Write REQ: block( 0, 0), len= 8, addr=00000a00
[DEBUG] Write DATA[ 0] =       2017
[DEBUG] Write DATA[ 1] =        587
[DEBUG] Write DATA[ 2] =        443
[DEBUG] Write DATA[ 3] =       2433
[DEBUG] Write DATA[ 4] =       2226
[DEBUG] Write DATA[ 5] =        205
[DEBUG] Write DATA[ 6] =        633
[DEBUG] Write DATA[ 7] =        205
[DEBUG] Write DATA[ 8] =       3218
[DEBUG] Block ( 0, 0) completed, moving to ( 1, 0)
[DEBUG] Read REQ: block( 1, 0), row=0, addr=00000010
[DEBUG] Read DATA[0,0] =       2729 -> buffer[0][1]
[DEBUG] Storing rdata=      2729 at buffer[0][1]
[DEBUG] Read DATA[0,1] =       2729 -> buffer[1][1]
[DEBUG] Read DATA[0,1] =       3230 -> buffer[1][1]
[DEBUG] Storing rdata=      3230 at buffer[1][1]
[DEBUG] Read DATA[0,2] =       3230 -> buffer[2][1]
[DEBUG] Read DATA[0,2] =       3037 -> buffer[2][1]
[DEBUG] Storing rdata=      3037 at buffer[2][1]
[DEBUG] Read DATA[0,3] =       3037 -> buffer[3][1]
[DEBUG] Read DATA[0,3] =       3520 -> buffer[3][1]
[DEBUG] Storing rdata=      3520 at buffer[3][1]
[DEBUG] Read REQ: block( 1, 0), row=1, addr=00000030
[DEBUG] Read DATA[1,0] =       1971 -> buffer[0][2]
[DEBUG] Storing rdata=      1971 at buffer[0][2]
[DEBUG] Read DATA[1,1] =       1971 -> buffer[1][2]
[DEBUG] Read DATA[1,1] =       2315 -> buffer[1][2]
[DEBUG] Storing rdata=      2315 at buffer[1][2]
[DEBUG] Read DATA[1,2] =       2315 -> buffer[2][2]
[DEBUG] Read DATA[1,2] =        328 -> buffer[2][2]
[DEBUG] Storing rdata=       328 at buffer[2][2]
[DEBUG] Read DATA[1,3] =        328 -> buffer[3][2]
[DEBUG] Read DATA[1,3] =        225 -> buffer[3][2]
[DEBUG] Storing rdata=       225 at buffer[3][2]
[DEBUG] Read REQ: block( 1, 0), row=2, addr=00000050
[DEBUG] Read DATA[2,0] =       1909 -> buffer[0][3]
[DEBUG] Storing rdata=      1909 at buffer[0][3]
[DEBUG] Read DATA[2,1] =       1909 -> buffer[1][3]
[DEBUG] Read DATA[2,1] =       4057 -> buffer[1][3]
[DEBUG] Storing rdata=      4057 at buffer[1][3]
[DEBUG] Read DATA[2,2] =       4057 -> buffer[2][3]
[DEBUG] Read DATA[2,2] =       3597 -> buffer[2][3]
[DEBUG] Storing rdata=      3597 at buffer[2][3]
[DEBUG] Read DATA[2,3] =       3597 -> buffer[3][3]
[DEBUG] Read DATA[2,3] =        295 -> buffer[3][3]
[DEBUG] Storing rdata=       295 at buffer[3][3]
[DEBUG] Read REQ: block( 1, 0), row=3, addr=00000070
[DEBUG] Read DATA[3,0] =       2177 -> buffer[0][4]
[DEBUG] Storing rdata=      2177 at buffer[0][4]
[DEBUG] Read DATA[3,1] =       2177 -> buffer[1][4]
[DEBUG] Read DATA[3,1] =       2664 -> buffer[1][4]
[DEBUG] Storing rdata=      2664 at buffer[1][4]
[DEBUG] Read DATA[3,2] =       2664 -> buffer[2][4]
[DEBUG] Read DATA[3,2] =       2298 -> buffer[2][4]
[DEBUG] Storing rdata=      2298 at buffer[2][4]
[DEBUG] Read DATA[3,3] =       2298 -> buffer[3][4]
[DEBUG] Read DATA[3,3] =        251 -> buffer[3][4]
[DEBUG] Storing rdata=       251 at buffer[3][4]
[DEBUG] Processing block type  1, output_len=25
[DEBUG] Processing block type  1, output_len=25
[DEBUG] Processing block type  1, output_len=25
[DEBUG] Write REQ: block( 1, 0), len= 8, addr=00000a10
[DEBUG] Write DATA[ 0] =        443
[DEBUG] Write DATA[ 1] =       2315
[DEBUG] Write DATA[ 2] =        328
[DEBUG] Write DATA[ 3] =        225
[DEBUG] Write DATA[ 4] =        328
[DEBUG] Write DATA[ 5] =       2729
[DEBUG] Write DATA[ 6] =       3230
[DEBUG] Write DATA[ 7] =       3037
[DEBUG] Write DATA[ 8] =       3520
[DEBUG] Block ( 1, 0) completed, moving to ( 0, 1)
[DEBUG] Read REQ: block( 0, 1), row=0, addr=00000080
[DEBUG] Read DATA[0,0] =        281 -> buffer[1][0]
[DEBUG] Storing rdata=       281 at buffer[1][0]
[DEBUG] Read DATA[0,1] =        281 -> buffer[2][0]
[DEBUG] Read DATA[0,1] =       1190 -> buffer[2][0]
[DEBUG] Storing rdata=      1190 at buffer[2][0]
[DEBUG] Read DATA[0,2] =       1190 -> buffer[3][0]
[DEBUG] Read DATA[0,2] =       2899 -> buffer[3][0]
[DEBUG] Storing rdata=      2899 at buffer[3][0]
[DEBUG] Read DATA[0,3] =       2899 -> buffer[4][0]
[DEBUG] Read DATA[0,3] =       1775 -> buffer[4][0]
[DEBUG] Storing rdata=      1775 at buffer[4][0]
[DEBUG] Read REQ: block( 0, 1), row=1, addr=000000a0
[DEBUG] Read DATA[1,0] =       3574 -> buffer[1][1]
[DEBUG] Storing rdata=      3574 at buffer[1][1]
[DEBUG] Read DATA[1,1] =       3574 -> buffer[2][1]
[DEBUG] Read DATA[1,1] =       3944 -> buffer[2][1]
[DEBUG] Storing rdata=      3944 at buffer[2][1]
[DEBUG] Read DATA[1,2] =       3944 -> buffer[3][1]
[DEBUG] Read DATA[1,2] =         20 -> buffer[3][1]
[DEBUG] Storing rdata=        20 at buffer[3][1]
[DEBUG] Read DATA[1,3] =         20 -> buffer[4][1]
[DEBUG] Read DATA[1,3] =       2671 -> buffer[4][1]
[DEBUG] Storing rdata=      2671 at buffer[4][1]
[DEBUG] Read REQ: block( 0, 1), row=2, addr=000000c0
[DEBUG] Read DATA[2,0] =       2621 -> buffer[1][2]
[DEBUG] Storing rdata=      2621 at buffer[1][2]
[DEBUG] Read DATA[2,1] =       2621 -> buffer[2][2]
[DEBUG] Read DATA[2,1] =        160 -> buffer[2][2]
[DEBUG] Storing rdata=       160 at buffer[2][2]
[DEBUG] Read DATA[2,2] =        160 -> buffer[3][2]
[DEBUG] Read DATA[2,2] =       1018 -> buffer[3][2]
[DEBUG] Storing rdata=      1018 at buffer[3][2]
[DEBUG] Read DATA[2,3] =       1018 -> buffer[4][2]
[DEBUG] Read DATA[2,3] =       3572 -> buffer[4][2]
[DEBUG] Storing rdata=      3572 at buffer[4][2]
[DEBUG] Read REQ: block( 0, 1), row=3, addr=000000e0
[DEBUG] Read DATA[3,0] =       2601 -> buffer[1][3]
[DEBUG] Storing rdata=      2601 at buffer[1][3]
[DEBUG] Read DATA[3,1] =       2601 -> buffer[2][3]
[DEBUG] Read DATA[3,1] =       2319 -> buffer[2][3]
[DEBUG] Storing rdata=      2319 at buffer[2][3]
[DEBUG] Read DATA[3,2] =       2319 -> buffer[3][3]
[DEBUG] Read DATA[3,2] =        406 -> buffer[3][3]
[DEBUG] Storing rdata=       406 at buffer[3][3]
[DEBUG] Read DATA[3,3] =        406 -> buffer[4][3]
[DEBUG] Read DATA[3,3] =       3543 -> buffer[4][3]
[DEBUG] Storing rdata=      3543 at buffer[4][3]
[DEBUG] Processing block type  2, output_len=25
[DEBUG] Processing block type  2, output_len=25
[DEBUG] Processing block type  2, output_len=25
[DEBUG] Write REQ: block( 0, 1), len= 8, addr=00000aa0
[DEBUG] Write DATA[ 0] =       1971
[DEBUG] Write DATA[ 1] =        281
[DEBUG] Write DATA[ 2] =       1190
[DEBUG] Write DATA[ 3] =       2899
[DEBUG] Write DATA[ 4] =       1775
[DEBUG] Write DATA[ 5] =       3944
[DEBUG] Write DATA[ 6] =       3574
[DEBUG] Write DATA[ 7] =       3944
[DEBUG] Write DATA[ 8] =         20
[DEBUG] Block ( 0, 1) completed, moving to ( 1, 1)
[DEBUG] Read REQ: block( 1, 1), row=0, addr=00000090
[DEBUG] Read DATA[0,0] =       3821 -> buffer[0][0]
[DEBUG] Storing rdata=      3821 at buffer[0][0]
[DEBUG] Read DATA[0,1] =       3821 -> buffer[1][0]
[DEBUG] Read DATA[0,1] =       3505 -> buffer[1][0]
[DEBUG] Storing rdata=      3505 at buffer[1][0]
[DEBUG] Read DATA[0,2] =       3505 -> buffer[2][0]
[DEBUG] Read DATA[0,2] =       3684 -> buffer[2][0]
[DEBUG] Storing rdata=      3684 at buffer[2][0]
[DEBUG] Read DATA[0,3] =       3684 -> buffer[3][0]
[DEBUG] Read DATA[0,3] =         33 -> buffer[3][0]
[DEBUG] Storing rdata=        33 at buffer[3][0]
[DEBUG] Read REQ: block( 1, 1), row=1, addr=000000b0
[DEBUG] Read DATA[1,0] =       1578 -> buffer[0][1]
[DEBUG] Storing rdata=      1578 at buffer[0][1]
[DEBUG] Read DATA[1,1] =       1578 -> buffer[1][1]
[DEBUG] Read DATA[1,1] =       1854 -> buffer[1][1]
[DEBUG] Storing rdata=      1854 at buffer[1][1]
[DEBUG] Read DATA[1,2] =       1854 -> buffer[2][1]
[DEBUG] Read DATA[1,2] =       3831 -> buffer[2][1]
[DEBUG] Storing rdata=      3831 at buffer[2][1]
[DEBUG] Read DATA[1,3] =       3831 -> buffer[3][1]
[DEBUG] Read DATA[1,3] =       3910 -> buffer[3][1]
[DEBUG] Storing rdata=      3910 at buffer[3][1]
[DEBUG] Read REQ: block( 1, 1), row=2, addr=000000d0
[DEBUG] Read DATA[2,0] =        819 -> buffer[0][2]
[DEBUG] Storing rdata=       819 at buffer[0][2]
[DEBUG] Read DATA[2,1] =        819 -> buffer[1][2]
[DEBUG] Read DATA[2,1] =       1792 -> buffer[1][2]
[DEBUG] Storing rdata=      1792 at buffer[1][2]
[DEBUG] Read DATA[2,2] =       1792 -> buffer[2][2]
[DEBUG] Read DATA[2,2] =       3036 -> buffer[2][2]
[DEBUG] Storing rdata=      3036 at buffer[2][2]
[DEBUG] Read DATA[2,3] =       3036 -> buffer[3][2]
[DEBUG] Read DATA[2,3] =       3440 -> buffer[3][2]
[DEBUG] Storing rdata=      3440 at buffer[3][2]
[DEBUG] Read REQ: block( 1, 1), row=3, addr=000000f0
[DEBUG] Read DATA[3,0] =        291 -> buffer[0][3]
[DEBUG] Storing rdata=       291 at buffer[0][3]
[DEBUG] Read DATA[3,1] =        291 -> buffer[1][3]
[DEBUG] Read DATA[3,1] =       3590 -> buffer[1][3]
[DEBUG] Storing rdata=      3590 at buffer[1][3]
[DEBUG] Read DATA[3,2] =       3590 -> buffer[2][3]
[DEBUG] Read DATA[3,2] =         74 -> buffer[2][3]
[DEBUG] Storing rdata=        74 at buffer[2][3]
[DEBUG] Read DATA[3,3] =         74 -> buffer[3][3]
[DEBUG] Read DATA[3,3] =       2378 -> buffer[3][3]
[DEBUG] Storing rdata=      2378 at buffer[3][3]
[DEBUG] Processing block type  3, output_len=25
[DEBUG] Processing block type  3, output_len=25
[DEBUG] Processing block type  3, output_len=25
[DEBUG] Write REQ: block( 1, 1), len= 8, addr=00000ab0
[DEBUG] Write DATA[ 0] =       3821
[DEBUG] Write DATA[ 1] =       3505
[DEBUG] Write DATA[ 2] =       3684
[DEBUG] Write DATA[ 3] =         33
[DEBUG] Write DATA[ 4] =       3684
[DEBUG] Write DATA[ 5] =       1578
[DEBUG] Write DATA[ 6] =       1854
[DEBUG] Write DATA[ 7] =       3831
[DEBUG] Write DATA[ 8] =       3910
[DEBUG] All blocks completed!
